"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"165","2698996","75","1","Jamaica Plain","98","moderate","Apartment","1"
"166","27611","185","1","Jamaica Plain","86","strict","Apartment","1"
"167","4025194","75","1","Jamaica Plain","97","flexible","Apartment","1"
"169","12071820","70","1","Jamaica Plain","96","flexible","Apartment","1"
"170","7910223","150","1","Jamaica Plain","96","strict","Bed & Breakfast","1"
"171","4567815","120",NULL,"Jamaica Plain","96","moderate","Apartment","2"
"172","12022134","92","1","Jamaica Plain","100","strict","Apartment","1"
"173","13513012","84","1","Jamaica Plain","100","moderate","Apartment","1"
"174","3730447","200","1","Jamaica Plain","89","strict","Apartment","2"
"175","4149974","115","1","Jamaica Plain","96","strict","Apartment","1"
"177","6238463","95","1","Jamaica Plain","98","strict","Townhouse","1"
"178","1929406","275","0.67","Jamaica Plain","100","strict","House","4"
"179","4583526","230","1","Jamaica Plain","97","strict","Apartment","4"
"180","7287822","130","1","Jamaica Plain","99","moderate","Apartment","1"
"181","8354938","192","1","Jamaica Plain","93","moderate","Apartment","2"
"182","5025015","175","1","Jamaica Plain","85","moderate","Apartment","3"
"183","4452800","70","1","Jamaica Plain","80","flexible","Apartment","1"
"184","7554801","65","1","Jamaica Plain","100","moderate","Townhouse","1"
"185","9349646","100","0.9","Jamaica Plain","100","flexible","Apartment","1"
"187","5124772","250",NULL,"Jamaica Plain","87","strict","House","5"
"188","3977877","110",NULL,"Jamaica Plain","93","moderate","Apartment","1"
"190","6602167","168","1","Jamaica Plain","89","moderate","Apartment","2"
"191","3987926","60","1","Jamaica Plain","98","flexible","Apartment","1"
"192","5729845","59","1","Jamaica Plain","90","moderate","Apartment","1"
"193","9727523","60","1","Jamaica Plain","91","flexible","House","1"
"194","12463555","145","0.8","Jamaica Plain","94","flexible","Apartment","2"
"195","9137560","80",NULL,"Jamaica Plain","100","moderate","Apartment","1"
"196","3616081","114","1","Jamaica Plain","97","strict","Apartment","1"
"197","8908145","170","1","Jamaica Plain","80","flexible","House","1"
"198","554720","240","1","Jamaica Plain","95","strict","Apartment","2"
"199","1551467","150",NULL,"Jamaica Plain","95","flexible","Apartment","2"
"200","7743569","69","1","Jamaica Plain","98","strict","Apartment","1"
"201","732932","80","1","Jamaica Plain","95","strict","Apartment","1"
"202","749247","85","1","Jamaica Plain","97","moderate","Apartment","1"
"203","667325","75","1","Jamaica Plain","92","moderate","Apartment","1"
"204","9349614","150","0.9","Jamaica Plain","80","flexible","Apartment","2"
"205","10627514","70","0.5","Jamaica Plain","90","moderate","House","1"
"206","1885825","80","1","Jamaica Plain","96","flexible","House","1"
"208","629814","225","1","Jamaica Plain","100","strict","Apartment","2"
"209","1222327","178",NULL,"Jamaica Plain","100","flexible","House","2"
"210","10299047","175","1","Jamaica Plain","94","moderate","Apartment","2"
"211","9463444","109","1","Jamaica Plain","100","moderate","Apartment","0"
"212","6465075","383","0.9","Jamaica Plain","94","strict","Condominium","5"
"214","9577988","99","1","Jamaica Plain","97","flexible","Apartment","2"
